Model,RMSE_logret,MAE_logret,MAPE_logret,R2_logret
Linear Regression,0.0027562391237417392,0.002009477127785676,181.48217082745856,0.8764328211671217
Random Forest,0.0028208200788010706,0.002053328010487122,185.62461699284043,0.8705744205983761
XGBoost,0.002974436562830053,0.0021355949678537344,182.09798408296888,0.856094044584738
LightGBM,0.0029356136976733827,0.002115124624787369,179.95985578641623,0.8598261001656162
LSTM,0.005150568583404178,0.0037562260158188645,280.4893417724745,0.5685010987162902
